Virus	Gene	Immediate Early	Early	Early-Late	Late	Latent
Epstein Barr Virus	BALF1	0	1	0	0	0
Epstein Barr Virus	BALF2	0	1	0	0	0
Epstein Barr Virus	BALF5	0	1	0	0	0
Epstein Barr Virus	BARF1	0	1	0	0	0
Epstein Barr Virus	BBLF2/3	0	1	0	0	0
Epstein Barr Virus	BBLF4	0	1	0	0	0
Epstein Barr Virus	BcRF1	0	1	0	0	0
Epstein Barr Virus	BDLF4	0	1	0	0	0
Epstein Barr Virus	BFLF1	0	1	0	0	0
Epstein Barr Virus	BFLF2	0	1	0	0	0
Epstein Barr Virus	BFRF1	0	1	0	0	0
Epstein Barr Virus	BFRF2	0	1	0	0	0
Epstein Barr Virus	BGLF4	0	1	0	0	0
Epstein Barr Virus	BGLF5	0	1	0	0	0
Epstein Barr Virus	BHRF1	0	1	0	1	0
Epstein Barr Virus	BKRF2	0	1	0	0	0
Epstein Barr Virus	BKRF4	0	1	0	0	0
Epstein Barr Virus	BLLF3	0	1	0	0	0
Epstein Barr Virus	BMRF1	0	1	0	0	0
Epstein Barr Virus	BNLF2a	0	1	0	0	0
Epstein Barr Virus	BNLF2b	0	1	0	0	0
Epstein Barr Virus	BORF2	0	1	0	0	0
Epstein Barr Virus	BPLF1	0	1	0	0	0
Epstein Barr Virus	BRLF1	1	0	0	0	0
Epstein Barr Virus	BRRF1	0	1	0	0	0
Epstein Barr Virus	BSLF1	0	1	0	0	0
Epstein Barr Virus	BSLF2/BMLF1	0	1	0	0	0
Epstein Barr Virus	BVRF1	0	1	0	0	0
Epstein Barr Virus	BXLF1	0	1	0	0	0
Epstein Barr Virus	BXRF1	0	0	0	1	0
Epstein Barr Virus	BALF4	0	0	0	1	0
Epstein Barr Virus	BBRF1	0	0	0	1	0
Epstein Barr Virus	BBRF2	0	0	0	1	0
Epstein Barr Virus	BBRF3	0	0	0	1	0
Epstein Barr Virus	BcLF1	0	0	0	1	0
Epstein Barr Virus	BcRF1	0	0	0	1	0
Epstein Barr Virus	BDLF1	0	0	0	1	0
Epstein Barr Virus	BDLF2	0	0	0	1	0
Epstein Barr Virus	BDLF3	0	0	0	1	0
Epstein Barr Virus	BDLF3.5	0	0	0	1	0
Epstein Barr Virus	BdRF1	0	0	0	1	0
Epstein Barr Virus	BdRF1	0	0	0	1	0
Epstein Barr Virus	BFRF3	0	0	0	1	0
Epstein Barr Virus	BGLF1	0	0	0	1	0
Epstein Barr Virus	BGLF2	0	0	0	1	0
Epstein Barr Virus	BGRF1/BDRF1	0	0	0	1	0
Epstein Barr Virus	BHLF1	0	0	0	1	1
Epstein Barr Virus	BILF2	0	0	0	1	0
Epstein Barr Virus	BLLF1	0	0	0	1	0
Epstein Barr Virus	BLLF2	0	0	0	1	0
Epstein Barr Virus	BLRF1	0	0	0	1	0
Epstein Barr Virus	BLRF2	0	0	0	1	0
Epstein Barr Virus	BMRF2	0	0	0	1	0
Epstein Barr Virus	BNRF1	0	0	0	1	0
Epstein Barr Virus	BORF1	0	0	0	1	0
Epstein Barr Virus	BRRF2	0	0	0	1	0
Epstein Barr Virus	BSRF1	0	0	0	1	0
Epstein Barr Virus	BTRF1	0	0	0	1	0
Epstein Barr Virus	BVRF2	0	0	0	1	0
Epstein Barr Virus	BXLF2	0	0	0	1	0
Epstein Barr Virus	BZLF1	1	0	0	0	0
Epstein Barr Virus	BZLF2	1	0	0	0	0
Epstein Barr Virus	EBER-1	0	0	0	0	1
Epstein Barr Virus	EBNA-1	0	0	0	0	1
Epstein Barr Virus	LMP-1	0	0	0	0	1
Epstein Barr Virus	RPMS1	0	0	0	0	1
Epstein Barr Virus	LMP-2A	0	0	0	0	1
Epstein Barr Virus	LMP-2B	0	0	0	0	1
Epstein Barr Virus	EBER-1	0	0	0	0	1
Epstein Barr Virus	EBNA-LP	0	0	0	0	1
Epstein Barr Virus	EBNA-2	0	0	0	0	1
