Virus	Gene	Immediate Early	Early	Early-Late	Late	Latent
Human Cytomegalovirus	RL1	0	1	0	0	0
Human Cytomegalovirus	RNA2.7	0	1	0	0	1
Human Cytomegalovirus	RL6	0	0	1	0	0
Human Cytomegalovirus	RNA1.2	0	1	0	0	0
Human Cytomegalovirus	RL8A	0	0	0	1	0
Human Cytomegalovirus	RL9A	0	0	0	1	0
Human Cytomegalovirus	RL10	0	0	1	0	0
Human Cytomegalovirus	RL11	0	0	0	1	0
Human Cytomegalovirus	RL12	0	0	1	0	0
Human Cytomegalovirus	UL2	0	0	0	1	0
Human Cytomegalovirus	UL4	0	1	0	0	0
Human Cytomegalovirus	UL5	0	1	0	0	0
Human Cytomegalovirus	UL7	0	0	0	1	0
Human Cytomegalovirus	UL9	0	0	0	1	0
Human Cytomegalovirus	UL11	0	1	0	0	0
Human Cytomegalovirus	UL13	0	1	0	0	0
Human Cytomegalovirus	UL14	0	0	0	1	0
Human Cytomegalovirus	UL15A	0	0	0	1	0
Human Cytomegalovirus	UL16	0	1	0	0	0
Human Cytomegalovirus	UL17	0	1	0	0	0
Human Cytomegalovirus	UL18	0	0	0	1	0
Human Cytomegalovirus	UL21A	0	1	0	0	0
Human Cytomegalovirus	UL22A	0	0	0	1	0
Human Cytomegalovirus	UL25	0	0	0	1	0
Human Cytomegalovirus	UL26	0	1	0	0	0
Human Cytomegalovirus	UL27	0	1	0	0	0
Human Cytomegalovirus	UL29	0	0	0	1	0
Human Cytomegalovirus	UL31	0	0	0	1	0
Human Cytomegalovirus	UL32	0	1	0	0	0
Human Cytomegalovirus	UL34	0	1	0	0	0
Human Cytomegalovirus	UL35	0	1	0	0	0
Human Cytomegalovirus	UL36	1	0	0	0	0
Human Cytomegalovirus	UL37	1	0	0	0	0
Human Cytomegalovirus	UL38	0	1	0	0	0
Human Cytomegalovirus	UL41A	0	0	0	1	0
Human Cytomegalovirus	UL43	0	0	0	1	0
Human Cytomegalovirus	UL44	0	1	0	0	0
Human Cytomegalovirus	UL45	0	1	0	0	0
Human Cytomegalovirus	UL46	0	0	1	0	0
Human Cytomegalovirus	UL47	0	0	1	0	0
Human Cytomegalovirus	UL48	0	1	0	0	0
Human Cytomegalovirus	UL48A	0	0	0	1	0
Human Cytomegalovirus	UL49	0	0	1	0	0
Human Cytomegalovirus	UL50	0	1	0	0	0
Human Cytomegalovirus	UL53	0	1	0	0	0
Human Cytomegalovirus	UL54	0	1	0	0	0
Human Cytomegalovirus	UL55	0	1	0	0	0
Human Cytomegalovirus	UL56	0	1	0	0	0
Human Cytomegalovirus	UL57	0	1	0	0	0
Human Cytomegalovirus	UL69	0	0	1	0	0
