Virus	Gene	Immediate Early	Early	Early-Late	Late	Latent
Kaposi Sarcoma Virus	K1	0	0	0	1	0
Kaposi Sarcoma Virus	vIRF-4	0	0	1	0	1
Kaposi Sarcoma Virus	HHV8GK18_gp79	0	0	1	0	1
Kaposi Sarcoma Virus	HHV8GK18_gp83	0	1	0	0	0
Kaposi Sarcoma Virus	K15	0	0	0	1	0
Kaposi Sarcoma Virus	K2	0	1	0	0	0
Kaposi Sarcoma Virus	K3	0	0	1	0	0
Kaposi Sarcoma Virus	K4	0	1	0	0	0
Kaposi Sarcoma Virus	K4.1	0	0	1	0	0
Kaposi Sarcoma Virus	K4.2	0	0	1	0	0
Kaposi Sarcoma Virus	K5	0	1	0	0	0
Kaposi Sarcoma Virus	K6	0	1	0	0	0
Kaposi Sarcoma Virus	K7	0	1	0	0	0
Kaposi Sarcoma Virus	K8	0	1	0	0	0
Kaposi Sarcoma Virus	K8.1	0	0	0	1	0
Kaposi Sarcoma Virus	vIRF-1	0	0	1	0	0
Kaposi Sarcoma Virus	ORF10	0	1	0	0	0
Kaposi Sarcoma Virus	ORF11	0	1	0	0	0
Kaposi Sarcoma Virus	ORF16	0	1	0	0	0
Kaposi Sarcoma Virus	ORF17	0	0	1	0	0
Kaposi Sarcoma Virus	ORF18	0	0	1	0	0
Kaposi Sarcoma Virus	ORF2	0	0	1	0	0
Kaposi Sarcoma Virus	ORF21	0	0	0	1	0
Kaposi Sarcoma Virus	ORF22	0	0	0	1	0
Kaposi Sarcoma Virus	ORF23	0	0	0	1	0
Kaposi Sarcoma Virus	ORF24	0	0	0	1	0
Kaposi Sarcoma Virus	ORF25	0	0	0	1	0
Kaposi Sarcoma Virus	ORF26	0	0	0	1	0
Kaposi Sarcoma Virus	ORF27	0	0	1	0	0
Kaposi Sarcoma Virus	ORF28	0	0	0	1	0
Kaposi Sarcoma Virus	ORF29	0	0	0	1	0
Kaposi Sarcoma Virus	ORF30	0	0	0	1	0
Kaposi Sarcoma Virus	ORF31	0	0	0	1	0
Kaposi Sarcoma Virus	ORF32	0	0	0	1	0
Kaposi Sarcoma Virus	ORF33	0	0	0	1	0
Kaposi Sarcoma Virus	ORF34	0	0	1	0	0
Kaposi Sarcoma Virus	ORF36	0	0	0	1	0
Kaposi Sarcoma Virus	ORF37	0	0	0	1	0
Kaposi Sarcoma Virus	ORF38	0	0	1	0	0
Kaposi Sarcoma Virus	ORF39	0	0	1	0	0
Kaposi Sarcoma Virus	ORF4	0	0	1	0	0
Kaposi Sarcoma Virus	ORF40	0	0	0	1	0
Kaposi Sarcoma Virus	ORF42	0	0	1	0	0
Kaposi Sarcoma Virus	ORF43	0	0	0	1	0
Kaposi Sarcoma Virus	ORF44	0	0	0	1	0
Kaposi Sarcoma Virus	ORF45	1	0	0	0	0
Kaposi Sarcoma Virus	ORF46	0	1	0	0	0
Kaposi Sarcoma Virus	ORF47	0	1	0	0	0
Kaposi Sarcoma Virus	ORF48	0	1	0	0	0
Kaposi Sarcoma Virus	ORF49	0	1	0	0	0
Kaposi Sarcoma Virus	ORF50	1	0	0	0	0
Kaposi Sarcoma Virus	ORF52	0	0	1	0	0
Kaposi Sarcoma Virus	ORF53	0	0	1	0	0
Kaposi Sarcoma Virus	ORF54	0	0	0	1	0
Kaposi Sarcoma Virus	ORF55	0	1	0	0	0
Kaposi Sarcoma Virus	ORF56	0	0	1	0	0
Kaposi Sarcoma Virus	ORF57	0	1	0	0	0
Kaposi Sarcoma Virus	ORF58	0	1	0	0	0
Kaposi Sarcoma Virus	ORF59	0	0	1	0	0
Kaposi Sarcoma Virus	ORF6	0	1	0	0	0
Kaposi Sarcoma Virus	ORF61	0	0	1	0	0
Kaposi Sarcoma Virus	ORF62	0	0	0	1	0
Kaposi Sarcoma Virus	ORF63	0	0	0	1	0
Kaposi Sarcoma Virus	ORF64	0	0	1	0	0
Kaposi Sarcoma Virus	ORF65	0	0	1	0	0
Kaposi Sarcoma Virus	ORF66	0	0	1	0	0
Kaposi Sarcoma Virus	ORF67	0	1	0	0	0
Kaposi Sarcoma Virus	HHV8GK18_gp78	0	1	0	0	0
Kaposi Sarcoma Virus	ORF7	0	1	0	0	0
Kaposi Sarcoma Virus	ORF70	0	0	1	0	0
Kaposi Sarcoma Virus	HHV8GK18_gp80	0	0	0	0	1
Kaposi Sarcoma Virus	HHV8GK18_gp82	0	0	0	0	1
Kaposi Sarcoma Virus	HHV8GK18_gp81	0	0	0	0	1
Kaposi Sarcoma Virus	HHV8GK18_gp84	0	1	0	0	0
Kaposi Sarcoma Virus	HHV8GK18_gp86	0	1	0	0	0
Kaposi Sarcoma Virus	ORF8	0	0	1	0	0
Kaposi Sarcoma Virus	ORF9	0	1	0	0	0
Kaposi Sarcoma Virus	T0.7	0	1	0	0	0
Kaposi Sarcoma Virus	HHV8_gs01	0	1	0	0	0
Kaposi Sarcoma Virus	vIRF-2	0	0	1	0	0
