Virus	Gene	Immediate Early	Early	Early-Late	Late	Latent
Varicella Zoster Virus	ORF4	1	0	0	0	0
Varicella Zoster Virus	ORF6	0	1	0	0	0
Varicella Zoster Virus	ORF8	0	0	0	1	0
Varicella Zoster Virus	ORF9	0	0	0	1	0
Varicella Zoster Virus	ORF10	0	1	0	0	0
Varicella Zoster Virus	ORF14	0	0	0	1	0
Varicella Zoster Virus	ORF17	0	1	0	0	0
Varicella Zoster Virus	ORF18	0	1	0	0	0
Varicella Zoster Virus	ORF21	0	0	0	0	1
Varicella Zoster Virus	ORF23	0	1	0	0	0
Varicella Zoster Virus	ORF28	0	1	0	0	0
Varicella Zoster Virus	ORF29	0	1	0	0	1
Varicella Zoster Virus	ORF31	0	0	0	1	0
Varicella Zoster Virus	ORF33	0	0	0	1	0
Varicella Zoster Virus	ORF36	0	1	0	0	0
Varicella Zoster Virus	ORF37	0	0	0	1	0
Varicella Zoster Virus	ORF39	0	0	0	1	0
Varicella Zoster Virus	ORF47	0	0	0	1	0
Varicella Zoster Virus	ORF50	0	0	0	1	0
Varicella Zoster Virus	ORF53	0	0	0	1	0
Varicella Zoster Virus	ORF60	0	0	0	1	0
Varicella Zoster Virus	ORF61	1	0	1	0	0
Varicella Zoster Virus	ORF62	0	0	0	0	1
Varicella Zoster Virus	ORF63	0	0	0	0	1
