sense	number	antisense	bp
Herpesvirus:Epstein_Barr_Virus:1:+	1	Herpesvirus:Epstein_Barr_Virus:3444:-	100
Herpesvirus:Epstein_Barr_Virus:2:+	2	Herpesvirus:Epstein_Barr_Virus:3445:-	150
Herpesvirus:Epstein_Barr_Virus:3:+	3	Herpesvirus:Epstein_Barr_Virus:3446:-	200
Herpesvirus:Epstein_Barr_Virus:4:+	4	Herpesvirus:Epstein_Barr_Virus:3447:-	250
Herpesvirus:Epstein_Barr_Virus:5:+	5	Herpesvirus:Epstein_Barr_Virus:3448:-	300
Herpesvirus:Epstein_Barr_Virus:6:+	6	Herpesvirus:Epstein_Barr_Virus:3449:-	350
Herpesvirus:Epstein_Barr_Virus:7:+	7	Herpesvirus:Epstein_Barr_Virus:3450:-	400
Herpesvirus:Epstein_Barr_Virus:8:+	8	Herpesvirus:Epstein_Barr_Virus:3451:-	450
Herpesvirus:Epstein_Barr_Virus:9:+	9	Herpesvirus:Epstein_Barr_Virus:3452:-	500
Herpesvirus:Epstein_Barr_Virus:10:+	10	Herpesvirus:Epstein_Barr_Virus:3453:-	550
Herpesvirus:Epstein_Barr_Virus:11:+	11	Herpesvirus:Epstein_Barr_Virus:3454:-	600
Herpesvirus:Epstein_Barr_Virus:12:+	12	Herpesvirus:Epstein_Barr_Virus:3455:-	650
Herpesvirus:Epstein_Barr_Virus:13:+	13	Herpesvirus:Epstein_Barr_Virus:3456:-	700
Herpesvirus:Epstein_Barr_Virus:14:+	14	Herpesvirus:Epstein_Barr_Virus:3457:-	750
Herpesvirus:Epstein_Barr_Virus:15:+	15	Herpesvirus:Epstein_Barr_Virus:3458:-	800
Herpesvirus:Epstein_Barr_Virus:16:+	16	Herpesvirus:Epstein_Barr_Virus:3459:-	850
Herpesvirus:Epstein_Barr_Virus:17:+	17	Herpesvirus:Epstein_Barr_Virus:3460:-	900
Herpesvirus:Epstein_Barr_Virus:18:+	18	Herpesvirus:Epstein_Barr_Virus:3461:-	950
Herpesvirus:Epstein_Barr_Virus:19:+	19	Herpesvirus:Epstein_Barr_Virus:3462:-	1000
