sense	number	antisense	bp
HIV-1:REJO:1:+	1	HIV-1:REJO:193:-	100
HIV-1:REJO:2:+	2	HIV-1:REJO:194:-	150
HIV-1:REJO:3:+	3	HIV-1:REJO:195:-	200
HIV-1:REJO:4:+	4	HIV-1:REJO:196:-	250
HIV-1:REJO:5:+	5	HIV-1:REJO:197:-	300
HIV-1:REJO:6:+	6	HIV-1:REJO:198:-	350
HIV-1:REJO:7:+	7	HIV-1:REJO:199:-	400
HIV-1:REJO:8:+	8	HIV-1:REJO:200:-	450
HIV-1:REJO:9:+	9	HIV-1:REJO:201:-	500
HIV-1:REJO:10:+	10	HIV-1:REJO:202:-	550
HIV-1:REJO:11:+	11	HIV-1:REJO:203:-	600
HIV-1:REJO:12:+	12	HIV-1:REJO:204:-	650
HIV-1:REJO:13:+	13	HIV-1:REJO:205:-	700
HIV-1:REJO:14:+	14	HIV-1:REJO:206:-	750
HIV-1:REJO:15:+	15	HIV-1:REJO:207:-	800
HIV-1:REJO:16:+	16	HIV-1:REJO:208:-	850
HIV-1:REJO:17:+	17	HIV-1:REJO:209:-	900
HIV-1:REJO:18:+	18	HIV-1:REJO:210:-	950
HIV-1:REJO:19:+	19	HIV-1:REJO:211:-	1000
HIV-1:REJO:20:+	20	HIV-1:REJO:212:-	1050
HIV-1:REJO:21:+	21	HIV-1:REJO:213:-	1100
HIV-1:REJO:22:+	22	HIV-1:REJO:214:-	1150
HIV-1:REJO:23:+	23	HIV-1:REJO:215:-	1200
HIV-1:REJO:24:+	24	HIV-1:REJO:216:-	1250
HIV-1:REJO:25:+	25	HIV-1:REJO:217:-	1300
HIV-1:REJO:26:+	26	HIV-1:REJO:218:-	1350
HIV-1:REJO:27:+	27	HIV-1:REJO:219:-	1400
HIV-1:REJO:28:+	28	HIV-1:REJO:220:-	1450
HIV-1:REJO:29:+	29	HIV-1:REJO:221:-	1500
HIV-1:REJO:30:+	30	HIV-1:REJO:222:-	1550
HIV-1:REJO:31:+	31	HIV-1:REJO:223:-	1600
HIV-1:REJO:32:+	32	HIV-1:REJO:224:-	1650
HIV-1:REJO:33:+	33	HIV-1:REJO:225:-	1700
HIV-1:REJO:34:+	34	HIV-1:REJO:226:-	1750
HIV-1:REJO:35:+	35	HIV-1:REJO:227:-	1800
HIV-1:REJO:36:+	36	HIV-1:REJO:228:-	1850
HIV-1:REJO:37:+	37	HIV-1:REJO:229:-	1900
HIV-1:REJO:38:+	38	HIV-1:REJO:230:-	1950
HIV-1:REJO:39:+	39	HIV-1:REJO:231:-	2000
HIV-1:REJO:40:+	40	HIV-1:REJO:232:-	2050
HIV-1:REJO:41:+	41	HIV-1:REJO:233:-	2100
HIV-1:REJO:42:+	42	HIV-1:REJO:234:-	2150
HIV-1:REJO:43:+	43	HIV-1:REJO:235:-	2200
HIV-1:REJO:44:+	44	HIV-1:REJO:236:-	2250
HIV-1:REJO:45:+	45	HIV-1:REJO:237:-	2300
HIV-1:REJO:46:+	46	HIV-1:REJO:238:-	2350
HIV-1:REJO:47:+	47	HIV-1:REJO:239:-	2400
HIV-1:REJO:48:+	48	HIV-1:REJO:240:-	2450
HIV-1:REJO:49:+	49	HIV-1:REJO:241:-	2500
HIV-1:REJO:50:+	50	HIV-1:REJO:242:-	2550
HIV-1:REJO:51:+	51	HIV-1:REJO:243:-	2600
HIV-1:REJO:52:+	52	HIV-1:REJO:244:-	2650
HIV-1:REJO:53:+	53	HIV-1:REJO:245:-	2700
HIV-1:REJO:54:+	54	HIV-1:REJO:246:-	2750
HIV-1:REJO:55:+	55	HIV-1:REJO:247:-	2800
HIV-1:REJO:56:+	56	HIV-1:REJO:248:-	2850
HIV-1:REJO:57:+	57	HIV-1:REJO:249:-	2900
HIV-1:REJO:58:+	58	HIV-1:REJO:250:-	2950
HIV-1:REJO:59:+	59	HIV-1:REJO:251:-	3000
HIV-1:REJO:60:+	60	HIV-1:REJO:252:-	3050
HIV-1:REJO:61:+	61	HIV-1:REJO:253:-	3100
HIV-1:REJO:62:+	62	HIV-1:REJO:254:-	3150
HIV-1:REJO:63:+	63	HIV-1:REJO:255:-	3200
HIV-1:REJO:64:+	64	HIV-1:REJO:256:-	3250
HIV-1:REJO:65:+	65	HIV-1:REJO:257:-	3300
HIV-1:REJO:66:+	66	HIV-1:REJO:258:-	3350
HIV-1:REJO:67:+	67	HIV-1:REJO:259:-	3400
HIV-1:REJO:68:+	68	HIV-1:REJO:260:-	3450
HIV-1:REJO:69:+	69	HIV-1:REJO:261:-	3500
HIV-1:REJO:70:+	70	HIV-1:REJO:262:-	3550
HIV-1:REJO:71:+	71	HIV-1:REJO:263:-	3600
HIV-1:REJO:72:+	72	HIV-1:REJO:264:-	3650
HIV-1:REJO:73:+	73	HIV-1:REJO:265:-	3700
HIV-1:REJO:74:+	74	HIV-1:REJO:266:-	3750
HIV-1:REJO:75:+	75	HIV-1:REJO:267:-	3800
HIV-1:REJO:76:+	76	HIV-1:REJO:268:-	3850
HIV-1:REJO:77:+	77	HIV-1:REJO:269:-	3900
HIV-1:REJO:78:+	78	HIV-1:REJO:270:-	3950
HIV-1:REJO:79:+	79	HIV-1:REJO:271:-	4000
HIV-1:REJO:80:+	80	HIV-1:REJO:272:-	4050
HIV-1:REJO:81:+	81	HIV-1:REJO:273:-	4100
HIV-1:REJO:82:+	82	HIV-1:REJO:274:-	4150
HIV-1:REJO:83:+	83	HIV-1:REJO:275:-	4200
HIV-1:REJO:84:+	84	HIV-1:REJO:276:-	4250
HIV-1:REJO:85:+	85	HIV-1:REJO:277:-	4300
HIV-1:REJO:86:+	86	HIV-1:REJO:278:-	4350
HIV-1:REJO:87:+	87	HIV-1:REJO:279:-	4400
HIV-1:REJO:88:+	88	HIV-1:REJO:280:-	4450
HIV-1:REJO:89:+	89	HIV-1:REJO:281:-	4500
HIV-1:REJO:90:+	90	HIV-1:REJO:282:-	4550
HIV-1:REJO:91:+	91	HIV-1:REJO:283:-	4600
HIV-1:REJO:92:+	92	HIV-1:REJO:284:-	4650
HIV-1:REJO:93:+	93	HIV-1:REJO:285:-	4700
HIV-1:REJO:94:+	94	HIV-1:REJO:286:-	4750
HIV-1:REJO:95:+	95	HIV-1:REJO:287:-	4800
HIV-1:REJO:96:+	96	HIV-1:REJO:288:-	4850
HIV-1:REJO:97:+	97	HIV-1:REJO:289:-	4900
HIV-1:REJO:98:+	98	HIV-1:REJO:290:-	4950
