sense	number	antisense	bp
Adenovirus:Type_3_Strain_GB:1:+	1	Adenovirus:Type_3_Strain_GB:705:-	100
Adenovirus:Type_3_Strain_GB:2:+	2	Adenovirus:Type_3_Strain_GB:706:-	150
Adenovirus:Type_3_Strain_GB:3:+	3	Adenovirus:Type_3_Strain_GB:707:-	200
Adenovirus:Type_3_Strain_GB:4:+	4	Adenovirus:Type_3_Strain_GB:708:-	250
Adenovirus:Type_3_Strain_GB:5:+	5	Adenovirus:Type_3_Strain_GB:709:-	300
Adenovirus:Type_3_Strain_GB:6:+	6	Adenovirus:Type_3_Strain_GB:710:-	350
Adenovirus:Type_3_Strain_GB:7:+	7	Adenovirus:Type_3_Strain_GB:711:-	400
Adenovirus:Type_3_Strain_GB:8:+	8	Adenovirus:Type_3_Strain_GB:712:-	450
Adenovirus:Type_3_Strain_GB:9:+	9	Adenovirus:Type_3_Strain_GB:713:-	500
Adenovirus:Type_3_Strain_GB:10:+	10	Adenovirus:Type_3_Strain_GB:714:-	550
Adenovirus:Type_3_Strain_GB:11:+	11	Adenovirus:Type_3_Strain_GB:715:-	600
Adenovirus:Type_3_Strain_GB:12:+	12	Adenovirus:Type_3_Strain_GB:716:-	650
Adenovirus:Type_3_Strain_GB:13:+	13	Adenovirus:Type_3_Strain_GB:717:-	700
Adenovirus:Type_3_Strain_GB:14:+	14	Adenovirus:Type_3_Strain_GB:718:-	750
Adenovirus:Type_3_Strain_GB:15:+	15	Adenovirus:Type_3_Strain_GB:719:-	800
Adenovirus:Type_3_Strain_GB:16:+	16	Adenovirus:Type_3_Strain_GB:720:-	850
Adenovirus:Type_3_Strain_GB:17:+	17	Adenovirus:Type_3_Strain_GB:721:-	900
Adenovirus:Type_3_Strain_GB:18:+	18	Adenovirus:Type_3_Strain_GB:722:-	950
Adenovirus:Type_3_Strain_GB:19:+	19	Adenovirus:Type_3_Strain_GB:723:-	1000
Adenovirus:Type_3_Strain_GB:20:+	20	Adenovirus:Type_3_Strain_GB:724:-	1050
Adenovirus:Type_3_Strain_GB:21:+	21	Adenovirus:Type_3_Strain_GB:725:-	1100
Adenovirus:Type_3_Strain_GB:22:+	22	Adenovirus:Type_3_Strain_GB:726:-	1150
Adenovirus:Type_3_Strain_GB:23:+	23	Adenovirus:Type_3_Strain_GB:727:-	1200
Adenovirus:Type_3_Strain_GB:24:+	24	Adenovirus:Type_3_Strain_GB:728:-	1250
Adenovirus:Type_3_Strain_GB:25:+	25	Adenovirus:Type_3_Strain_GB:729:-	1300
Adenovirus:Type_3_Strain_GB:26:+	26	Adenovirus:Type_3_Strain_GB:730:-	1350
Adenovirus:Type_3_Strain_GB:27:+	27	Adenovirus:Type_3_Strain_GB:731:-	1400
Adenovirus:Type_3_Strain_GB:28:+	28	Adenovirus:Type_3_Strain_GB:732:-	1450
Adenovirus:Type_3_Strain_GB:29:+	29	Adenovirus:Type_3_Strain_GB:733:-	1500
Adenovirus:Type_3_Strain_GB:30:+	30	Adenovirus:Type_3_Strain_GB:734:-	1550
Adenovirus:Type_3_Strain_GB:31:+	31	Adenovirus:Type_3_Strain_GB:735:-	1600
Adenovirus:Type_3_Strain_GB:32:+	32	Adenovirus:Type_3_Strain_GB:736:-	1650
Adenovirus:Type_3_Strain_GB:33:+	33	Adenovirus:Type_3_Strain_GB:737:-	1700
Adenovirus:Type_3_Strain_GB:34:+	34	Adenovirus:Type_3_Strain_GB:738:-	1750
Adenovirus:Type_3_Strain_GB:35:+	35	Adenovirus:Type_3_Strain_GB:739:-	1800
Adenovirus:Type_3_Strain_GB:36:+	36	Adenovirus:Type_3_Strain_GB:740:-	1850
Adenovirus:Type_3_Strain_GB:37:+	37	Adenovirus:Type_3_Strain_GB:741:-	1900
Adenovirus:Type_3_Strain_GB:38:+	38	Adenovirus:Type_3_Strain_GB:742:-	1950
Adenovirus:Type_3_Strain_GB:39:+	39	Adenovirus:Type_3_Strain_GB:743:-	2000
Adenovirus:Type_3_Strain_GB:40:+	40	Adenovirus:Type_3_Strain_GB:744:-	2050
Adenovirus:Type_3_Strain_GB:41:+	41	Adenovirus:Type_3_Strain_GB:745:-	2100
