sense	number	antisense	bp
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:1:+	1	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2494:-	100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2:+	2	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2495:-	150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:3:+	3	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2496:-	200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:4:+	4	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2497:-	250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:5:+	5	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2498:-	300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:6:+	6	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2499:-	350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:7:+	7	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2500:-	400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:8:+	8	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2501:-	450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:9:+	9	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2502:-	500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:10:+	10	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2503:-	550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:11:+	11	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2504:-	600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:12:+	12	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2505:-	650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:13:+	13	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2506:-	700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:14:+	14	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2507:-	750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:15:+	15	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2508:-	800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:16:+	16	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2509:-	850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:17:+	17	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2510:-	900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:18:+	18	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2511:-	950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:19:+	19	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2512:-	1000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:20:+	20	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2513:-	1050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:21:+	21	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2514:-	1100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:22:+	22	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2515:-	1150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:23:+	23	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2516:-	1200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:24:+	24	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2517:-	1250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:25:+	25	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2518:-	1300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:26:+	26	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2519:-	1350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:27:+	27	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2520:-	1400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:28:+	28	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2521:-	1450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:29:+	29	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2522:-	1500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:30:+	30	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2523:-	1550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:31:+	31	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2524:-	1600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:32:+	32	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2525:-	1650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:33:+	33	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2526:-	1700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:34:+	34	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2527:-	1750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:35:+	35	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2528:-	1800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:36:+	36	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2529:-	1850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:37:+	37	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2530:-	1900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:38:+	38	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2531:-	1950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:39:+	39	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2532:-	2000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:40:+	40	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2533:-	2050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:41:+	41	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2534:-	2100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:42:+	42	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2535:-	2150
