sense	number	antisense	bp	
Adenovirus:Type_1_Strain_Adenoid_71:1431:+	1	Adenovirus:Type_1_Strain_Adenoid_71:1433:-	100	
Adenovirus:Type_1_Strain_Adenoid_71:1:+	2	Adenovirus:Type_1_Strain_Adenoid_71:716:-	150	
Adenovirus:Type_1_Strain_Adenoid_71:2:+	3	Adenovirus:Type_1_Strain_Adenoid_71:717:-	200	
Adenovirus:Type_1_Strain_Adenoid_71:3:+	4	Adenovirus:Type_1_Strain_Adenoid_71:718:-	250	
Adenovirus:Type_1_Strain_Adenoid_71:4:+	5	Adenovirus:Type_1_Strain_Adenoid_71:719:-	300	
Adenovirus:Type_1_Strain_Adenoid_71:5:+	6	Adenovirus:Type_1_Strain_Adenoid_71:720:-	350	
Adenovirus:Type_1_Strain_Adenoid_71:6:+	7	Adenovirus:Type_1_Strain_Adenoid_71:721:-	400	
Adenovirus:Type_1_Strain_Adenoid_71:7:+	8	Adenovirus:Type_1_Strain_Adenoid_71:722:-	450	
Adenovirus:Type_1_Strain_Adenoid_71:8:+	9	Adenovirus:Type_1_Strain_Adenoid_71:723:-	500	
Adenovirus:Type_1_Strain_Adenoid_71:9:+	10	Adenovirus:Type_1_Strain_Adenoid_71:724:-	550	
Adenovirus:Type_1_Strain_Adenoid_71:10:+	11	Adenovirus:Type_1_Strain_Adenoid_71:725:-	600	
Adenovirus:Type_1_Strain_Adenoid_71:11:+	12	Adenovirus:Type_1_Strain_Adenoid_71:726:-	650	
Adenovirus:Type_1_Strain_Adenoid_71:12:+	13	Adenovirus:Type_1_Strain_Adenoid_71:727:-	700	
Adenovirus:Type_1_Strain_Adenoid_71:13:+	14	Adenovirus:Type_1_Strain_Adenoid_71:728:-	750	
Adenovirus:Type_1_Strain_Adenoid_71:14:+	15	Adenovirus:Type_1_Strain_Adenoid_71:729:-	800	
Adenovirus:Type_1_Strain_Adenoid_71:15:+	16	Adenovirus:Type_1_Strain_Adenoid_71:730:-	850	
Adenovirus:Type_1_Strain_Adenoid_71:16:+	17	Adenovirus:Type_1_Strain_Adenoid_71:731:-	900	
Adenovirus:Type_1_Strain_Adenoid_71:17:+	18	Adenovirus:Type_1_Strain_Adenoid_71:732:-	950	
Adenovirus:Type_1_Strain_Adenoid_71:18:+	19	Adenovirus:Type_1_Strain_Adenoid_71:733:-	1000	
Adenovirus:Type_1_Strain_Adenoid_71:19:+	20	Adenovirus:Type_1_Strain_Adenoid_71:734:-	1050	
Adenovirus:Type_1_Strain_Adenoid_71:20:+	21	Adenovirus:Type_1_Strain_Adenoid_71:735:-	1100	
Adenovirus:Type_1_Strain_Adenoid_71:21:+	22	Adenovirus:Type_1_Strain_Adenoid_71:736:-	1150	
Adenovirus:Type_1_Strain_Adenoid_71:22:+	23	Adenovirus:Type_1_Strain_Adenoid_71:737:-	1200	
Adenovirus:Type_1_Strain_Adenoid_71:23:+	24	Adenovirus:Type_1_Strain_Adenoid_71:738:-	1250	
Adenovirus:Type_1_Strain_Adenoid_71:24:+	25	Adenovirus:Type_1_Strain_Adenoid_71:739:-	1300	
Adenovirus:Type_1_Strain_Adenoid_71:25:+	26	Adenovirus:Type_1_Strain_Adenoid_71:740:-	1350	
Adenovirus:Type_1_Strain_Adenoid_71:26:+	27	Adenovirus:Type_1_Strain_Adenoid_71:741:-	1400	
Adenovirus:Type_1_Strain_Adenoid_71:27:+	28	Adenovirus:Type_1_Strain_Adenoid_71:742:-	1450	
Adenovirus:Type_1_Strain_Adenoid_71:28:+	29	Adenovirus:Type_1_Strain_Adenoid_71:743:-	1500	
Adenovirus:Type_1_Strain_Adenoid_71:29:+	30	Adenovirus:Type_1_Strain_Adenoid_71:744:-	1550	
Adenovirus:Type_1_Strain_Adenoid_71:30:+	31	Adenovirus:Type_1_Strain_Adenoid_71:745:-	1600	
Adenovirus:Type_1_Strain_Adenoid_71:31:+	32	Adenovirus:Type_1_Strain_Adenoid_71:746:-	1650	
Adenovirus:Type_1_Strain_Adenoid_71:32:+	33	Adenovirus:Type_1_Strain_Adenoid_71:747:-	1700	
Adenovirus:Type_1_Strain_Adenoid_71:33:+	34	Adenovirus:Type_1_Strain_Adenoid_71:748:-	1750	
Adenovirus:Type_1_Strain_Adenoid_71:34:+	35	Adenovirus:Type_1_Strain_Adenoid_71:749:-	1800	
Adenovirus:Type_1_Strain_Adenoid_71:35:+	36	Adenovirus:Type_1_Strain_Adenoid_71:750:-	1850	
Adenovirus:Type_1_Strain_Adenoid_71:36:+	37	Adenovirus:Type_1_Strain_Adenoid_71:751:-	1900	
Adenovirus:Type_1_Strain_Adenoid_71:37:+	38	Adenovirus:Type_1_Strain_Adenoid_71:752:-	1950	
Adenovirus:Type_1_Strain_Adenoid_71:38:+	39	Adenovirus:Type_1_Strain_Adenoid_71:753:-	2000	
Adenovirus:Type_1_Strain_Adenoid_71:39:+	40	Adenovirus:Type_1_Strain_Adenoid_71:754:-	2050	
Adenovirus:Type_1_Strain_Adenoid_71:40:+	41	Adenovirus:Type_1_Strain_Adenoid_71:755:-	2100	
Adenovirus:Type_1_Strain_Adenoid_71:41:+	42	Adenovirus:Type_1_Strain_Adenoid_71:756:-	2150	
