sense	number	antisense	bp
Herpesvirus:Herpes_Simplex_1_KOS:1:+	1	Herpesvirus:Herpes_Simplex_1_KOS:3038:-	100
Herpesvirus:Herpes_Simplex_1_KOS:2:+	2	Herpesvirus:Herpes_Simplex_1_KOS:3039:-	150
Herpesvirus:Herpes_Simplex_1_KOS:3:+	3	Herpesvirus:Herpes_Simplex_1_KOS:3040:-	200
Herpesvirus:Herpes_Simplex_1_KOS:4:+	4	Herpesvirus:Herpes_Simplex_1_KOS:3041:-	250
Herpesvirus:Herpes_Simplex_1_KOS:5:+	5	Herpesvirus:Herpes_Simplex_1_KOS:3042:-	300
Herpesvirus:Herpes_Simplex_1_KOS:6:+	6	Herpesvirus:Herpes_Simplex_1_KOS:3043:-	350
Herpesvirus:Herpes_Simplex_1_KOS:7:+	7	Herpesvirus:Herpes_Simplex_1_KOS:3044:-	400
Herpesvirus:Herpes_Simplex_1_KOS:8:+	8	Herpesvirus:Herpes_Simplex_1_KOS:3045:-	450
Herpesvirus:Herpes_Simplex_1_KOS:9:+	9	Herpesvirus:Herpes_Simplex_1_KOS:3046:-	500
Herpesvirus:Herpes_Simplex_1_KOS:10:+	10	Herpesvirus:Herpes_Simplex_1_KOS:3047:-	550
Herpesvirus:Herpes_Simplex_1_KOS:11:+	11	Herpesvirus:Herpes_Simplex_1_KOS:3048:-	600
Herpesvirus:Herpes_Simplex_1_KOS:12:+	12	Herpesvirus:Herpes_Simplex_1_KOS:3049:-	650
Herpesvirus:Herpes_Simplex_1_KOS:13:+	13	Herpesvirus:Herpes_Simplex_1_KOS:3050:-	700
Herpesvirus:Herpes_Simplex_1_KOS:14:+	14	Herpesvirus:Herpes_Simplex_1_KOS:3051:-	750
Herpesvirus:Herpes_Simplex_1_KOS:15:+	15	Herpesvirus:Herpes_Simplex_1_KOS:3052:-	800
Herpesvirus:Herpes_Simplex_1_KOS:16:+	16	Herpesvirus:Herpes_Simplex_1_KOS:3053:-	850
