sense	number	antisense	bp
Herpesvirus:Human_cytomegalovirus:1:+	1	Herpesvirus:Human_cytomegalovirus:4701:-	100
Herpesvirus:Human_cytomegalovirus:2:+	2	Herpesvirus:Human_cytomegalovirus:4702:-	150
Herpesvirus:Human_cytomegalovirus:3:+	3	Herpesvirus:Human_cytomegalovirus:4703:-	200
Herpesvirus:Human_cytomegalovirus:4:+	4	Herpesvirus:Human_cytomegalovirus:4704:-	250
Herpesvirus:Human_cytomegalovirus:5:+	5	Herpesvirus:Human_cytomegalovirus:4705:-	300
Herpesvirus:Human_cytomegalovirus:6:+	6	Herpesvirus:Human_cytomegalovirus:4706:-	350
Herpesvirus:Human_cytomegalovirus:7:+	7	Herpesvirus:Human_cytomegalovirus:4707:-	400
Herpesvirus:Human_cytomegalovirus:8:+	8	Herpesvirus:Human_cytomegalovirus:4708:-	450
Herpesvirus:Human_cytomegalovirus:9:+	9	Herpesvirus:Human_cytomegalovirus:4709:-	500
Herpesvirus:Human_cytomegalovirus:10:+	10	Herpesvirus:Human_cytomegalovirus:4710:-	550
Herpesvirus:Human_cytomegalovirus:11:+	11	Herpesvirus:Human_cytomegalovirus:4711:-	600
Herpesvirus:Human_cytomegalovirus:12:+	12	Herpesvirus:Human_cytomegalovirus:4712:-	650
Herpesvirus:Human_cytomegalovirus:13:+	13	Herpesvirus:Human_cytomegalovirus:4713:-	700
Herpesvirus:Human_cytomegalovirus:14:+	14	Herpesvirus:Human_cytomegalovirus:4714:-	750
Herpesvirus:Human_cytomegalovirus:15:+	15	Herpesvirus:Human_cytomegalovirus:4715:-	800
Herpesvirus:Human_cytomegalovirus:16:+	16	Herpesvirus:Human_cytomegalovirus:4716:-	850
Herpesvirus:Human_cytomegalovirus:17:+	17	Herpesvirus:Human_cytomegalovirus:4717:-	900
Herpesvirus:Human_cytomegalovirus:18:+	18	Herpesvirus:Human_cytomegalovirus:4718:-	950
Herpesvirus:Human_cytomegalovirus:19:+	19	Herpesvirus:Human_cytomegalovirus:4719:-	1000
Herpesvirus:Human_cytomegalovirus:20:+	20	Herpesvirus:Human_cytomegalovirus:4720:-	1050
Herpesvirus:Human_cytomegalovirus:21:+	21	Herpesvirus:Human_cytomegalovirus:4721:-	1100
Herpesvirus:Human_cytomegalovirus:22:+	22	Herpesvirus:Human_cytomegalovirus:4722:-	1150
Herpesvirus:Human_cytomegalovirus:23:+	23	Herpesvirus:Human_cytomegalovirus:4723:-	1200
Herpesvirus:Human_cytomegalovirus:24:+	24	Herpesvirus:Human_cytomegalovirus:4724:-	1250
Herpesvirus:Human_cytomegalovirus:25:+	25	Herpesvirus:Human_cytomegalovirus:4725:-	1300
Herpesvirus:Human_cytomegalovirus:26:+	26	Herpesvirus:Human_cytomegalovirus:4726:-	1350
Herpesvirus:Human_cytomegalovirus:27:+	27	Herpesvirus:Human_cytomegalovirus:4727:-	1400
Herpesvirus:Human_cytomegalovirus:28:+	28	Herpesvirus:Human_cytomegalovirus:4728:-	1450
Herpesvirus:Human_cytomegalovirus:29:+	29	Herpesvirus:Human_cytomegalovirus:4729:-	1500
Herpesvirus:Human_cytomegalovirus:30:+	30	Herpesvirus:Human_cytomegalovirus:4730:-	1550
Herpesvirus:Human_cytomegalovirus:31:+	31	Herpesvirus:Human_cytomegalovirus:4731:-	1600
Herpesvirus:Human_cytomegalovirus:32:+	32	Herpesvirus:Human_cytomegalovirus:4732:-	1650
Herpesvirus:Human_cytomegalovirus:33:+	33	Herpesvirus:Human_cytomegalovirus:4733:-	1700
Herpesvirus:Human_cytomegalovirus:34:+	34	Herpesvirus:Human_cytomegalovirus:4734:-	1750
Herpesvirus:Human_cytomegalovirus:35:+	35	Herpesvirus:Human_cytomegalovirus:4735:-	1800
